,topic,set
98,This House would fund the provision of higher education by taxing graduates,train
99,This House believes the expenditure of money should be protected as speech.,train
100,This House would “make the punishment fit the crime” in prison.,train
101,This House believes that compensation should be paid for those who have had their culture appropriat,train
102,This House believes long term cooperation between Russia and the United States is possible.,train
103,This House supports the decision of the state of Bavaria to publish Mein Kampf,train
104,"This House believes that all literature, art, photography, film and music should be released under C",train
105,This House would go nuclear,train
106,This House Believes the US is Justified in Using Force to Prevent States From Acquiring Nuclear Weap,train
107,This House would allow wire-tapped and ‘intercepted’ evidence as admissible in court,train
108,This house believes the Upper House should be accountable to the people,train
109,This House Would Abolish nuclear weapons,train
110,This House would make religious freedom abroad one of its primary foreign policy concerns.,train
111,This House believes the United States is a ‘benign’ hegemon*,train
112,This House would ignore North Korean provocations,train
113,This House believes that countries with an imbalanced male_female ratio skewed towards males should,train
114,This House would adopt proportional representation,train
115,This house believes NAFTA has benefitted all parties involved.,train
116,This House Would Ban Fraternities,train
117,This House believes a nation's history and mythology is part of its national security,train
118,This House Believes That Israel’s West Bank Settlements are an Obstacle to Peace,train
119,This House believes that capitalism is better than socialism,train
120,THB that Palestinian Statehood should be recognised by the United Nations General Assembly,train
121,This House opposes U.S. hegemonic military power,train
122,This House would expand the United Nations Security Council,train
123,Neo-functionalism explains the integration of the European Union,train
124,This House believes the integration of Africa through the African Union can succeed,train
125,This House would allow internet service providers to block access to extremist websites,train
126,This House (as the USA) Would Sign the Ottawa Convention banning landmines,train
127,This House believes that the EU should abandon nuclear energy,train
128,This House would abandon the timetable for withdrawal from Afghanistan,train
129,This House would ban the use of animals as objects of sport and entertainment,train
130,This House would suspend directly delivered foreign development aid,train
131,This House would grant politicians immunity from prosecution,train
132,This House would use positive discrimination to increase diversity in university,train
133,This House would allow the Republika Srpska to secede from Bosnia & Herzegovina,train
134,This House would block access to websites that deny the Holocaust,train
135,This House believes we're too late on global climate change,train
136,This House would build High Speed Two,train
137,This House believes governments should choose open source software in order to encourage its use,train
138,Actively circumventing Internet censorship is a legitimate foreign policy tool,train
139,This House believes that Israel's 2008-2009 military operations against Gaza were justified,train
140,This House would lease Crimea to Russia,train
141,This House would redefine African borders to reflect ethnic groups,train
142,This House believes that a cap-and-trade system is preferable to a carbon tax in reducing carbon emi,train
143,This House supports the development of a missile defence system,train
144,This House wants a line-item veto amendment,train
145,This House believes the United States is responsible for Mexico’s drugs war.,train
146,This House believes that northern Ireland would be better off if united with the Republic of Ireland,train
147,This House would introduce goal line technology in football,train
148,This House believes homosexuals should be able to adopt.,train
149,This house would censor hate speech on campus,train
150,This House would make fines relative to income,train
151,Deny Organs to Non-Donors,train
152,"This House believes in the conflict between Israel and Palestine, a two-state solution is better jus",train
153,This House Would (as a Christian Church) allow the ordination of gay and lesbian priests,train
154,This House believes there can be such a thing as a Just War,train
155,This House believes Christians should be allowed to wear the Cross at work,train
156,This House prefers its government Big and Beefy,train
157,Debate - boycott the 2022 World Cup in Qatar,train
158,This House would allow the patenting of genes,train
159,This House Would Create a National High Speed Rail System in the U.S.,train
160,This House would pay state school teachers based on merit,train
161,This House prefers trade to aid,train
162,This House believes the prevalence of ‘African mercenaries’ is decreasing,train
163,THBT intellectual migration (brain drain) is caused by a lack of belonging rather than a lack of opp,train
164,This House would scrap Anti-Social Behaviour Orders (UK),train
165,This House would allow the use of electronic and internet voting in state-organised elections,train
166,Kill One to Save Many (Junior),train
167,This House would build hydroelectric dams,train
168,This House believes the United Nations has a responsibility to protect.,train
169,This House believes that capital punishment should be abolished in Africa,train
170,This House would have weapons inspectors leave Syria,train
171,"This House would force the media to display, promote and report women’s sport equally to men’s sport",train
172,This House would return cultural property residing in museums to its place of origin,train
173,This House would  abolish congressional earmarks,train
174,This House believes that important decisions about children’s health should be made by medical profe,train
175,This House believes that the leaking of military documents by Anat Kamm was justified,train
176,This House believes nations of the world should increase protection of the economic and social right,train
177,This house believes that opinion polls harm the democratic process.,train
178,This House Would Never Have Children,train
179,This House believes that freedom of expression is more important than religious sensitivities,train
180,This House believes in a world government,train
181,This house would freeze the United Nations budget,train
182,This House would ban the sale of 3D printers to households,train
183,This House believes the Mexico-US border fence is justified,train
184,This House would visit the Yasukuni Shrine,train
185,This House believes Lesotho should be annexed by South Africa,train
186,This House would as the United States ban assault weapons,train
187,This House believes African cities need to invest more in housing to replace slums,train
188,THBT New York City has the right to regulate the size of sodas bought on the market.,train
189,This House believes that cannabis should be legalised,train
190,"This House would be a libertarian; right or left, right or wrong.",train
191,This House would bailout journalism.,train
192,This House believes the UN intervention in the Democratic Republic of Congo has been a success.,train
193,This house would have a criminal DNA database,train
194,This House believes western intervention in Libya has been a success,train
195,This House would create an African Criminal Court,train
196,This House would throw Russia out of the G8,train
197,This House believes Africa is really rising,train
198,This House would re-engage with Myanmar,train
199,This house would use force to protect human rights abroad,train
200,This House would show the darker side of the formation of the nation,train
201,This House would subsidise the translation of academic work in the languages of developing countries,train
202,This House believes Britain should join the Euro currency,train
203,This House would provide access to microfinance for the ‘unbanked’,train
204,This house would allow military recruitment in schools,train
205,This house Would Ban School Uniforms - Junior,train
206,This House would introduce positive discrimination to put more women in parliament,train
207,This House believes atheism is the only way,train
208,Should we fear the power of government over the Internet?,train
209,This House welcomes US help in fighting terrorist organisations in Africa,train
210,This House favours a common EU foreign policy,train
211,This House would hold students legally responsible for bullying if it resulted in the victim's death,train
212,This House would Censor the Internet,train
213,This House would ban partial birth abortions,train
214,This House would abolish standardized tests for University Admission,train
215,This House believes that the United States’ individual health insurance mandate is unconstitutional.,train
216,This house believes the unemployed should be made to work for their welfare money,train
217,TTHW prohibit the sale of children’s toys as part of fast food meals,train
218,This House believes South Africa should host an Olympics,train
219,This House would institute a mandatory retirement age,train
220,This House believes the state should provide broadband internet through nationalized companies,train
221,This House believes in the use of affirmative action,train
222,This house would abolish intellectual property rights,train
223,Introduce a “fat tax” (Junior),train
224,This house would introduce mandatory salary capping,train
225,This House would reform Oxbridge,train
226,This house would bring back corporal punishment,train
227,This House would not fund any work that is not released under a creative commons license,train
228,This House believes that news organisations should be free to exclude news of homosexuality where it,train
229,This House believes in a national minimum wage,train
230,This House believes NATO countries and the government of Afghanistan should negotiate a power-sharin,train
231,"This House would, as an African government, implement tougher protections for animals",train
232,This House believes social deprivation causes crime.,train
233,This House supports protection of the French Language in the face of Franglais,train
234,This House would widen the East African Community,train
235,This House would pull out of the Article 98 Agreements that prevent US soldiers from being sent to t,train
236,This House would enable free movement of labour across Africa to alleviate poverty disparities.,train
237,This House supports security profiling at airports,train
238,This House believes individuals who have committed atrocities in the Syrian Civil War should be inve,train
239,This House would make English the official language of the United States,train
240,This House Would Implement A Fat Tax,train
241,Should governments be allowed to disrupt Internet service on grounds of national security?,train
242,This House believes a lack of investment in teachers is the greatest barrier to achieving universal,train
243,This House would have a second Brexit referendum before leaving the EU,train
244,This house believes in global free trade.,train
245,This House would hold a referendum on any new EU treaty,train
246,This House would ban faith schools.,train
247,This House supports the Dalai Lama’s ‘third way’ in Tibet.,train
248,This house would recognise the International Criminal Court,train
249,This House believes the Seychelles should buy territory and relocate due to climate change,train
250,This House Would Encourage Offshoring,train
251,Every child should have a mobile phone. (Junior),train
252,This House would cut aid to African states that criminalise homosexuality,train
253,This House would criminalise blasphemy,train
254,European Parliament elections should involve only one voting district: all of Europe and not separat,train
255,This House believes the republican party has lost its way,train
256,This House would vote to stay in the EU after Cameron’s deal,train
257,This House believes the EU should engage in further enlargement,train
258,"This house would allow retailers to import for resale ""grey"" goods from abroad.",train
259,This House supports the creation of a Free Trade Area of the Americas. (FTAA),train
260,This House would ban the sale of violent video games_censor violent video games.,train
261,This House Believes that assisted suicide should be legalized,train
262,This house would create a UN standing army,train
263,This house would deny smokers access to state healthcare.,train
264,This House would repatriate all illegal immigrants,train
265,This house would grant the EU a permanent seat on the UN Security Council,train
266,This House would ban the use of trans fats in food stuffs,train
267,This House Believes that Evolution has Disproved Creationism,train
268,This House would ban the promotion of diets,train
269,This House Believes that the War in Iraq was Worth the Cost,train
270,This House believes that poverty is the most important security issue facing Africa,train
271,This House Believes That Terrorists Should Be Subject to the Geneva Conventions,train
272,This House believes the African Union can meet its pledge to end all war on the continent by 2020,train
273,This House would move the 2022 Football World Cup to the winter,train
274,This House believes Turkey is not a democracy,train
275,This House Believes civil liberties should be sacrificed for the greater good,train
276,This House believes the European Union should be a trade bloc rather than a political union,train
277,This House would ban child performers,train
278,This House would hold all U.S. presidential primaries on the same day.,train
279,This House believes university education should be free,train
280,This House would make sex education mandatory in schools,train
281,This House would hold a referendum on UK membership in the EU,train
282,This House believes the Arab Spring revolutions can create stable democracies.,train
283,This house would ban smoking in public spaces,train
284,This House believes Nollywood could be an effective instrument to change perceptions of Africa,train
285,This House would allow biased versions of history to be taught in schools,train
286,This House believes that leaving the EU would increase British security,train
287,This house would continue funding attempts to contact Extra-terrestrial life,train
288,This House supports head of state immunity,train
289,This House would follow countries such as Senegal that have quotas for women in politics,train
290,This House believes that advertising is harmful,train
291,This House would lower the voting age to 16,train
292,This House believes that the Church of England should be separated from the British state.,train
293,This House believes that new technologies will make entrepreneurs of Africa’s youth.,train
294,This house believes South Ossetia should be independent,train
295,This house supports the admission of Turkey to the EU,train
296,This House believes that all nations should ban bullfighting,train
297,"This House believes that film stars, music stars and other popular entertainers should not be partic",train
298,This House believes that the people's republic of China should abandon the one-child policy.,train
299,This House believes all nations have a right to nuclear weapons,train
300,Governments should prioritise spending money on youth,train
301,This House would prosecute war criminals,train
302,This House would permit the use of performance enhancing drugs in professional sports,train
303,This House would exploit unconventional oil,train
304,This House believes prosecutions help the healing process,train
305,This House would give cash to the poor to reduce poverty,train
306,Raise the school leaving age to 18 (Junior),train
307,This House believes that nationalism can be a force for good,train
308,This House Would Pass the American Jobs Act,train
309,This House would disclose previous convictions in court,train
310,This House believes the age of consent laws should be made more liberal (lowered).,train
311,This House regrets that Ariel Sharon was not tried for war crimes by an international court,train
312,This House would require professional sportsmen to represent their countries at the international le,train
313,This House would allow a referendum on Catalan independence,train
314,This House would unleash the free market,train
315,This House believes France is right to intervene in Mali,train
316,This House Would Remove Bush Tax Cuts For The Wealthy,train
317,This House believes men are the key to family planning in Uganda,train
318,This House would legalise the growing of coca leaf,train
319,This House would encourage fewer people to go to university,train
320,This house would let Turkey join the European Union,train
321,This House believes post conflict peace cannot be sustained without impartial justice.,train
322,This House would abandon Kofi Annan’s peace plan for Syria,train
323,This House would introduce a system of universal healthcare,train
324,This house believes poetry is an unnecessary burden for schools.,train
325,This House would privatize the USA's social security schemes,train
326,This House believes that Tanzania’s taxation on mobile phones is a good model,train
327,This House believes that people should have a right to private education,train
328,This House would allow voting at 16 in European Parliament elections,train
329,This House believes the Mo Ibrahim prize encourages good governance,train
330,This House would make lessons in a foreign language compulsory for school pupils,train
331,This House believes limited press and speech freedom will hinder progress in Rwanda,train
332,This House would give illegal immigrants drivers licenses,train
333,This House would introduce restrictions on overseas players in football,train
334,This House Supports India’s Ban on the Satanic Verses,train
335,This House would ban animal testing,train
336,This House believes that tibet should be an independent state,train
337,This House believes NATO has succeeded in Afghanistan,train
338,This House would use targeted sanctions to respond to cyber-attacks,train
339,This House would abolish the monarchy.,train
340,This House would build the Keystone XL pipeline,train
341,"This House would remove the words ""under God"" from the American Pledge of Allegiance",train
342,This House would reserve a permanent UNSC seat with veto power to an African country,train
343,This House Believes That the US should have done more for Darfur,train
344,This House Would Raise The School Leaving Age To 18,train
345,This house would limit the right to trial by jury in some criminal cases.,train
346,This House would introduce child curfews,train
347,This House would ban targeted online advertising on the basis of user profiles and demographics,train
348,This House Believes That Zero Tolerance Policing is a Good Tactic for Fighting Crime,train
349,This House believes the BBC should be free to blaspheme,train
350,This House believes that bribery is sometimes acceptable,train
351,Ban the niqab and other face coverings in schools (Junior),train
352,This House would make the raising of business and labour standards a prerequisite for developmental,train
353,This House believes that marriage is an outdated institution,train
354,This House believes dictatorship is the best path to development,train
355,This house believes that housewives should be paid for their work,train
356,This House believes that the feminist movement should seek a ban on pornography,train
357,This House believes that Western democracies should openly try to circumvent Internet censorship in,train
358,This house would force think tanks to reveal all of their sources of funding,train
359,This House believes  launching a military coup against a democratic government can be justified,train
360,This House believes the ICC should have its own enforcement arm,train
361,This House supports the death penalty for the worst of the worst,train
362,This House would ban the sale of surveillance technology to non-democratic countries,train
363,This House supports the use of truth and reconciliation commissions,train
364,This House would punish users of extremist websites,train
365,This House would cull badgers,train
366,This House believes African leaders should be transparent about their health,train
367,This House believes criminal justice should focus more on rehabilitation.,train
368,This House believes that there should be a presumption in favour of publication for information held,train
369,This House would ban countries with very harsh training methods from participating in international,train
370,This House believes that Russia needs strong leadership,train
371,This House supports racial quotas in South African rugby,train
372,This House believes the outcome of the Paris Climate Conference needs to be an international treaty,train
373,This House believes the best way to protect Scottish interests in the EU is to vote for independence,train
374,This house would allow gay couples to marry,train
375,Obama vs. Romney: Should the United States increase the foreign aid budget?,train
376,This House would kill one to save many,train
377,This House supports the death penalty,train
378,That all states should immediately ratify the U.N. Convention on the Rights of Migrant Workers and t,train
379,This House would build high rises for housing,train
380,This House would legalize sex work in order to make controls more feasible and effective to combat H,train
381,This House believes that the EU should abandon the Common Agricultural Policy,train
382,This House would ban music containing lyrics that glorify violent and criminal lifestyles,train
383,This House would ban all anonymous posting and commenting on the Internet.,train
384,This House would ban junk food from schools.,train
385,Corporal Punishment for Adult Offenders,train
386,This House would allow celebrities to switch off the limelight,train
387,This House believes that Mathematics should not be a compulsory subject in schools.,train
388,This House doesn’t trust Republicans with the economy,train
389,This House would allow parents to genetically screen foetuses for heritable diseases,train
390,This House believes African states should withdraw from the ICC,train
391,This House would dissolve the Schengen Agreement,train
392,This House would arm the police,train
393,This House would act to regulate the activities of Sovereign Wealth Funds,train
394,This House believes Ghana’s ban on smoking in public places is a model for Africa,train
395,This House would use racial profiling as part of airport security checks,train
396,This House would penalise religious hate speech,train
397,This House Believes That belief in God is irrational,train
398,This House would cede control of the Falkland (Malvinas) Islands to Argentina.,train
399,This House believes forced evictions are necessary for African cities to become global players.,train
400,"This House would, as the developed world, fund African climate adaptation",train
401,This House would invade and forcibly reunify the Korean peninsula,train
402,Resolved: Adaptation should be the most urgent response to Climate Change.,train
403,This House would require government to obtain warrants to access data that can be used to track an i,train
404,Is it worth voting? (First past the post systems),train
405,This house Would enforce term limits on the legislative branch of government,train
406,This House would colonize the moon,train
407,This House believes that Greece should default on its debt and return to the Drachma.,train
408,This House would introduce labels on food to encourage people to eat better,train
409,This house believes that the Egyptian army was right to depose Morsi,train
410,This House believes blasphemy has no place on the statute books,train
411,This House would impose democracy,train
412,This house would allow the production of generic drugs,train
413,This House believes the European Union should adopt a single working language through which to opera,train
414,This House would abolish all collective bargaining rights claimed by trades unions,train
415,This House would ban teachers from interacting with students via social networking websites.,train
416,This house believes that the payment of welfare benefits to parents should be tied to their children,train
417,This House supports random drug-testing in schools,train
418,This House would extend NATO membership to Georgia and Ukraine,train
419,This House believes that suicide should be a criminal offence,train
420,This House would create an international treaty_ban on cyber-attacks,train
421,This House would offer amnesty to bloggers currently prosecuted by their native states,train
422,This House would abolish collective bargaining rights for unions.,train
423,This House would drop the sanctions against Cuba.,train
424,This House believes that we should make education compulsory to degree level,train
425,This House believes transparency is necessary for security,train
426,This House would fund needle exchanges,train
427,This House believes in the right to reply,train
428,This House believes the UK would have more influence outside the EU,train
429,This House believes that there should be a legally mandated ceiling on weekly working hours.,train
430,This House believes the House of Lords should be reformed,train
431,This House would prioritise eliminating the budget deficit over increasing domestic spending,train
432,This House believes that women are the key to Africa’s economic future.,train
433,"Should a new global body, the United Nations Committee for Internet Related Policies, take over inte",train
434,This House believes that history has no place in the classroom,train
435,This House supports net neutrality legislation,train
436,This House believes in manned space flight,train
437,This House believes that religious beliefs should override government laws,train
438,This house believes sanctions should be used to promote democracy,train
439,This House believes the Kenyatta and Ruto ICC trials should be  delayed,train
440,This House would cut the length of copyright protection,train
441,This House supports a progressive tax rate,train
442,This House Would Get A Master’s Degree.,train
443,Obama vs. Romney: Should the United States scale back the War on Drugs?,train
444,This House would ban gambling,train
445,This House would put taxes_revenue from oil into a trust fund independent of politicians influence,train
446,This House would decriminalise sadomasochism,train
447,This House Would sponsor children in developing countries. (Junior),train
448,This House believes that rumours about politicians should not be reported,train
449,This house believes that the Catholic Church is justified in forbidding the use of barrier methods o,train
450,This House would end western states' control over the International Monetary Fund,train
451,This House would expand NATO,train
452,This House supports public service broadcasters,train
453,This House believes that private sector involvement is necessary to improve healthcare in Africa,train
454,This house would teach creationism in schools,train
455,This House would allow cohabiting couples who wish to end their relationships to request that the co,train
456,This House believes a move to the left is good for Labour,train
457,This House believes legal empowerment is provided for women through land titling.,train
458,This House believes tourism is a viable development strategy for poor states.,train
459,This House believes in a federal Europe,train
460,"This House would, as the African Union, create a standing army",train
461,This House believes Israel should return to its pre-1967 borders,train
462,This House believes that Eritrea is responsible for its isolation,train
463,This House believes major league baseball should continue to allow collisions at home plate.,train
464,This House believes you have nothing to worry about surveillance if you have done nothing wrong.,train
465,This house would develop tactical nuclear weapons,train
466,This House Would introduce a flat tax,train
467,This House would make all museums free of charge,train
468,This House believes that defending the enemies of one's nation is legitimate free speech,train
469,This House Believes in Local Control of the Education System,train
470,This house would abolish the security council veto,train
471,This House believes that downloading music without permission is morally equivalent to theft,train
472,This House would drive to an out of town shopping centre,train
473,"This House believes Guinea-Bissau should not let itself be turned in to a front of the US’ ""war on d",train
474,This House supports mandatory sentencing,val
475,This House believes single-sex schools are good for education,val
476,This House Believes Obama was right to agree to meet rogue leaders without preconditions.,val
477,This House believes that former colonial powers should pay reparations to former colonies,val
478,This House believes that developing nations should place restrictions on rural-urban migration,val
479,This House would force feed sufferers of Anorexia Nervosa,val
480,This House would use foreign aid funds to research and distribute software that allows bloggers and,val
481,This house believes the feminisation of Africa’s labour force is empowering women,val
482,This house believes that civil society should be granted a wider participation in Africa’s political,val
483,This House believes that Puerto Rico should seek American statehood,val
484,This House would legalise the use of cell phones in cars,val
485,This House Supports the New START Treaty,val
486,This House Believes Alternative Medicine Poses a Threat to Public Health,val
487,Poetry should not be taught in schools (Junior),val
488,This House Would Give Obama A Second Term,val
489,This House believes that the West should invade Syria,val
490,This House would close Guantanamo Bay detention centre,val
491,This house believes parents should be able to choose the sex of their children,val
492,This House believes Islamic State_Daesh is the most significant threat to the west,val
493,This House Believes That the U.S. Should Ban The Use of Cluster Bombs,val
494,This House would ban handguns in Washington D.C.,val
495,This House would arm teachers,val
496,This House would stimulate (or subsidise) mother tongue education for large immigrant groups.,val
497,This house believes in the woman's right to choose,val
498,This House would abolish the US Electoral College,val
499,This House believes Julian Assange is a journalist,val
500,Ratify the Anti-Counterfeiting Trade Agreement (ACTA).,val
501,This House would ban arranged marriages in EU countries,val
502,This House would limit prison to violent offenders,val
503,This House believes that endangered species should be protected,val
504,This House would directly elect city mayors,val
505,This house believes Spain should cede Ceuta and Melilla to Morocco,val
506,This house believes that Tunisia should not rely on tourism for economic growth,val
507,This House would disband NATO,val
508,This House believes politicians have no right to privacy,val
509,"This House believes that US intervention in Libya, lacking congressional approval, was illegal",val
510,This House believes that ‘the Spear’ should have remained on public display.,val
511,This House believes that the Reproductive Health Bill will undermine families and values,val
512,This House would build the Grand Inga Dam,val
513,This House would store nuclear waste underground,val
514,This House Believes the International Criminal Court is a force for good.,val
515,This House believes Tennessee is correct to protect teachers who wish to explore the merits of creat,val
516,This House believes Gabon hosting the Africa Cup of Nations was a good thing,val
517,This House believes degrees in the creative arts are luxuries society can no longer afford,val
518,This House believes that the right to anonymous posting on the internet should be protected by law,val
519,This House believes Europe still needs a constitution,val
520,"This House believes African nations should ban the sale of skin whitening creams, and similar produc",val
521,This house believes that developed countries have a higher obligation to combat climate change than,val
522,This House believes Russia has the right to send troops into Crimea,val
523,This House would protect aboriginal culture,val
524,This House Believes That Feminism Is Still Needed,val
525,This House would ban alcohol,val
526,This house supports the idea of participatory democracy,val
527,This House believes that the use of atomic bombs against Hiroshima and Nagasaki was justified,val
528,This house believes that animals have rights.,val
529,This House would go vegetarian,val
530,This House would post the full financial history of all candidates for political office online,val
531,This House believes that a legal qualification is worth the cost,val
532,This House believes that open primaries are the most effective method of selecting candidates for el,val
533,This House would introduce year round schooling.,test
534,This House would allow donations of vital organs even at the expense of the donor's life,test
535,This House would explore the universe,test
536,This House would consider a large scale cyber attack an act of war,test
537,This house would make voting compulsory,test
538,This House believes the Gulf States should take in more Syrian refugees,test
539,This House supports the legalisation of drugs,test
540,This House Believes That Employees Should Be Compelled To Disclose Their HIV Status to Employers,test
541,This House would have no elections rather than sham elections,test
542,This House would buy locally produced food,test
543,This House would scrap the double jeopardy rule,test
544,This House would build a third Heathrow runway to maintain its position as a hub airport,test
545,This House would grant an amnesty to illegal immigrants,test
546,This House would replace Trident,test
547,This House would allow women to compete in the same leagues as men,test
548,This House would lift all veto powers of individual EU member states,test
549,This House Would Ban Human Cloning.,test
550,This House would limit the right to bear arms,test
551,This House would use torture to obtain information from suspected terrorists.,test
552,This House Would Exempt Celebrities from National Service (in South Korea),test
553,This House would provide breakfast for all school students,test
554,This House would use Unmanned Aerial Vehicles to strike terrorist targets.,test
555,This House would grant those diagnosed with terminal illnesses the right to access treatments that h,test
556,This House believes that the governance of the United States should be split between the two major U,test
557,"This House believes the EU, USA and other western donors should not fund any Palestinian government",test
558,This House would limit anonymous contributions from corporations and individuals to super PACs,test
559,Obama vs. Romney: Should the U.S. Government continue to spend at current levels even if it means ra,test
560,This House believes community radio is good for democracy,test
561,"This House opposes televising all criminal trials, and the ICC is no exception",test
562,This House would have cyberbullies do time even if under 18,test
563,This House would Abolish the Superdelegate System for Democratic Party Conventions.,test
564,This House would implement playoffs in collegiate level american football,test
565,This House believes that gender quotas in the EU are advantageous for the economies of member states,test
566,This House would condition state funding to universities upon all academic work being made available,test
567,This House believes the private lives of public figures should be open to press scrutiny.,test
568,This House believes in the right to die,test
569,This House would ban the slaughter of animals which have not been stunned first,test
570,This House believes Africans are worse off due to natural resources,test
571,Homework is a waste of time. (Junior),test
572,THBT social disgust is legitimate grounds for restriction of artistic expression,test
573,This House believes that hate crime 'enhancements' are unjust,test
574,This House would allow women to take part in combat,test
575,This House Does Not Trust the Market for Improvements in Energy Standards.,test
576,This House would implent the Virtual Doctor Project in Zambia,test
577,This house believes the internet encourages democracy,test
578,This House believes that the US and Israel should join the International Criminal Court.,test
579,Ban online gambling (Junior),test
580,This House would block access to social messaging networks during riots,test
581,This House would require the ICC to allow a defence of “cultural relativism” to the crime of recruit,test
582,This House would not allow companies to collect_sell the personal data of their clients,test
583,This House believes the ICC is biased against Africa,test
584,This House would arm the Syrian rebels,test
585,This House would offer increased aid to developing world countries that encourage and accept large i,test
586,This House believes western universities should only place satellites in states that respect free sp,test
587,Ban animal testing (junior),test
588,This House Belives that wind power should be a primary focus of future energy supply.,test
589,This House would allow parents to monitor their children's online and mobile communications.,test
590,This House would enforce term limits on the executive branch of government,test
591,This House Believes that religion does more harm than good,test
592,This House would abolish agricultural subsidies,test
